[2025-07-02 14:02:32] source-chain   | Sent TX 25b96841... to ZLB Watcher
[2025-07-02 14:02:32] zkcross-chain  | Received Source Block 10
[2025-07-02 14:02:32] source-chain   | --- Created Block 10 with 5 TXs ---
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX 2f378539...
[2025-07-02 14:02:32] dest-chain     |   -> FAILED TO MINT TX 2f378539...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX 2f378539...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX b02a50ca...
[2025-07-02 14:02:32] dest-chain     |   -> FAILED TO MINT TX b02a50ca...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX b02a50ca...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX a555b094...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX a555b094...
[2025-07-02 14:02:32] dest-chain     |   -> Minted TX a555b094...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX 73cee7ee...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX 73cee7ee...
[2025-07-02 14:02:32] dest-chain     |   -> Minted TX 73cee7ee...
[2025-07-02 14:02:32] dest-chain     | Received Audit for TX 25b96841...
[2025-07-02 14:02:32] dest-chain     |   -> Minted TX 25b96841...
[2025-07-02 14:02:32] zkcross-chain  |   -> Audited TX 25b96841...
[2025-07-02 14:02:34] source-chain   | Sent TX d8aa80d0... to ZLB Watcher
[2025-07-02 14:02:36] source-chain   | Sent TX d312860e... to ZLB Watcher
[2025-07-02 14:02:38] source-chain   | Sent TX 241d32fe... to ZLB Watcher
[2025-07-02 14:02:40] source-chain   | Sent TX 58b64590... to ZLB Watcher
[2025-07-02 14:02:42] source-chain   | Sent TX 2e422238... to ZLB Watcher
[2025-07-02 14:02:42] zkcross-chain  | Received Source Block 11
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX d8aa80d0...
[2025-07-02 14:02:42] source-chain   | --- Created Block 11 with 5 TXs ---
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX d8aa80d0...
[2025-07-02 14:02:42] dest-chain     |   -> Minted TX d8aa80d0...
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX d312860e...
[2025-07-02 14:02:42] dest-chain     |   -> FAILED TO MINT TX d312860e...
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX d312860e...
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX 241d32fe...
[2025-07-02 14:02:42] dest-chain     |   -> Minted TX 241d32fe...
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX 241d32fe...
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX 58b64590...
[2025-07-02 14:02:42] dest-chain     |   -> FAILED TO MINT TX 58b64590...
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX 58b64590...
[2025-07-02 14:02:42] dest-chain     | Received Audit for TX 2e422238...
[2025-07-02 14:02:42] dest-chain     |   -> Minted TX 2e422238...
[2025-07-02 14:02:42] zkcross-chain  |   -> Audited TX 2e422238...
[2025-07-02 14:02:44] zlb-watcher    | 
[2025-07-02 14:02:44] zlb-watcher    | >>> Proof of Destination Omission generated for TX: a1a650bf216fcf1630327d7d10aa03b71205d067785939bb3fc4e5f197621840 (Committer: 0xCommitter) <<<
[2025-07-02 14:02:44] zlb-watcher    | 
[2025-07-02 14:02:44] zlb-watcher    | 
[2025-07-02 14:02:44] zlb-watcher    | >>> Proof of Destination Omission generated for TX: e0d6d5214412f9674678b6172b705e54252b5f94e700d8b14cb5ef459d56f4f7 (Committer: 0xCommitter) <<<
[2025-07-02 14:02:44] zlb-watcher    | 
[2025-07-02 14:02:44] zlb-watcher    | 
[2025-07-02 14:02:44] zlb-watcher    | >>> Proof of Bridge Omission generated for TX: 77f6388d00802ec10df3acf1f6727932f6fa202939942f3b8397f23c4c744d21 <<<
[2025-07-02 14:02:44] zlb-watcher    | 
[2025-07-02 14:02:44] source-chain   | Sent TX 20b8de61... to ZLB Watcher
[2025-07-02 14:02:46] source-chain   | Sent TX 6c627d7c... to ZLB Watcher
[2025-07-02 14:02:48] source-chain   | Sent TX 431da905... to ZLB Watcher
[2025-07-02 14:02:50] source-chain   | Sent TX 25d6fb4d... to ZLB Watcher
[2025-07-02 14:02:52] source-chain   | Sent TX 1b1c32b4... to ZLB Watcher
[2025-07-02 14:02:52] zkcross-chain  | Received Source Block 12
[2025-07-02 14:02:52] source-chain   | --- Created Block 12 with 5 TXs ---
[2025-07-02 14:02:52] dest-chain     | Received Audit for TX 20b8de61...
[2025-07-02 14:02:52] zkcross-chain  |   -> Audited TX 20b8de61...
[2025-07-02 14:02:52] dest-chain     |   -> Minted TX 20b8de61...
[2025-07-02 14:02:52] dest-chain     | Received Audit for TX 6c627d7c...
[2025-07-02 14:02:52] zkcross-chain  |   -> Audited TX 6c627d7c...
[2025-07-02 14:02:52] dest-chain     |   -> Minted TX 6c627d7c...
[2025-07-02 14:02:52] dest-chain     | Received Audit for TX 431da905...
[2025-07-02 14:02:52] dest-chain     |   -> FAILED TO MINT TX 431da905...
[2025-07-02 14:02:52] zkcross-chain  |   -> Audited TX 431da905...
[2025-07-02 14:02:52] dest-chain     | Received Audit for TX 25d6fb4d...
[2025-07-02 14:02:52] zkcross-chain  |   -> Audited TX 25d6fb4d...
[2025-07-02 14:02:52] dest-chain     |   -> Minted TX 25d6fb4d...
[2025-07-02 14:02:52] dest-chain     | Received Audit for TX 1b1c32b4...
[2025-07-02 14:02:52] dest-chain     |   -> FAILED TO MINT TX 1b1c32b4...
[2025-07-02 14:02:52] zkcross-chain  |   -> Audited TX 1b1c32b4...
[2025-07-02 14:02:54] zlb-watcher    | 
[2025-07-02 14:02:54] zlb-watcher    | >>> Proof of Destination Omission generated for TX: 8e15eb1766851b58f2719e71138ff1fd41a4ef240f993c55b5ab831acd84079d (Committer: 0xCommitter) <<<
[2025-07-02 14:02:54] zlb-watcher    | 
[2025-07-02 14:02:54] zlb-watcher    | 
[2025-07-02 14:02:54] zlb-watcher    | >>> Proof of Destination Omission generated for TX: 743b2b704caa05930c907ba90ed6dbec0fcf6fedf8ea1288e59387f1644b6a35 (Committer: 0xCommitter) <<<
[2025-07-02 14:02:54] zlb-watcher    | 
[2025-07-02 14:02:54] source-chain   | Sent TX a3820470... to ZLB Watcher
[2025-07-02 14:02:56] source-chain   | Sent TX ed51ecb9... to ZLB Watcher
[2025-07-02 14:02:58] source-chain   | Sent TX f8a61b5d... to ZLB Watcher
[2025-07-02 14:03:00] source-chain   | Sent TX eb54a158... to ZLB Watcher
[2025-07-02 14:03:02] source-chain   | Sent TX 30e508a6... to ZLB Watcher
[2025-07-02 14:03:02] zkcross-chain  | Received Source Block 13
[2025-07-02 14:03:02] source-chain   | --- Created Block 13 with 5 TXs ---
[2025-07-02 14:03:02] dest-chain     | Received Audit for TX a3820470...
[2025-07-02 14:03:02] zkcross-chain  |   -> Audited TX a3820470...
[2025-07-02 14:03:02] dest-chain     |   -> Minted TX a3820470...
[2025-07-02 14:03:02] dest-chain     | Received Audit for TX ed51ecb9...
[2025-07-02 14:03:02] zkcross-chain  |   -> Audited TX ed51ecb9...
[2025-07-02 14:03:02] zkcross-chain  |   -> OMITTED TX f8a61b5d...
[2025-07-02 14:03:02] dest-chain     |   -> Minted TX ed51ecb9...
[2025-07-02 14:03:02] dest-chain     | Received Audit for TX eb54a158...
[2025-07-02 14:03:02] dest-chain     |   -> FAILED TO MINT TX eb54a158...
[2025-07-02 14:03:02] zkcross-chain  |   -> Audited TX eb54a158...
[2025-07-02 14:03:02] dest-chain     | Received Audit for TX 30e508a6...
[2025-07-02 14:03:02] dest-chain     |   -> Minted TX 30e508a6...
[2025-07-02 14:03:02] zkcross-chain  |   -> Audited TX 30e508a6...
[2025-07-02 14:03:04] zlb-watcher    | 
[2025-07-02 14:03:04] zlb-watcher    | >>> Proof of Destination Omission generated for TX: 2f37853988299c1d07f3be3a526e45a3c1fe8098d68ffedcc4d344186ee9ed0f (Committer: 0xCommitter) <<<
[2025-07-02 14:03:04] zlb-watcher    | 
[2025-07-02 14:03:04] zlb-watcher    | 
[2025-07-02 14:03:04] zlb-watcher    | >>> Proof of Destination Omission generated for TX: b02a50ca9f0d1d2fb3444e28a730b6aca01be319f18e5e331826984cb20a5561 (Committer: 0xCommitter) <<<
[2025-07-02 14:03:04] zlb-watcher    | 
[2025-07-02 14:03:04] source-chain   | Sent TX f900c86c... to ZLB Watcher
[2025-07-02 14:03:06] source-chain   | Sent TX 7878c097... to ZLB Watcher
[2025-07-02 14:03:08] source-chain   | Sent TX 2f2e8fd5... to ZLB Watcher
